120
390 3
140 0 0
140 0 1 180
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
100 0 0
100 0 1 140
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
100 0 0
140 0 0
140 0 1 180
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
140 0 0
40 0 0
40 0 1 80
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
160 0 0
160 0 1 200
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
40 0 0
40 0 1 80
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
40 0 0
260 0 0
260 0 1 300
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
220 0 0
220 0 1 260
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
260 0 0
260 0 1 300
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
300 0 0
300 0 1 340
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
260 0 0
260 0 1 300
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
260 0 0
300 0 0
300 0 1 340
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
300 0 0
220 0 0
220 0 1 260
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
180 0 0
180 0 1 220
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
120 0 0
120 0 1 160
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
120 0 0
240 0 0
240 0 1 280
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
240 0 0
180 0 0
180 0 1 220
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
160 0 0
160 0 1 200
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
160 0 0
220 0 0
220 0 1 260
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
220 0 0
180 0 0
180 0 1 220
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
180 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
50 0 0
